Decoder Obj_Detector
0.027279 0.012082
0.026067 0.012016
0.027898 0.012170
0.036794 0.012005
0.028122 0.011865
0.029473 0.011955
0.026497 0.013135
0.033461 0.011773
0.033090 0.014056
0.027598 0.013083
0.027012 0.012060
0.027309 0.012659
0.026330 0.012167
0.026907 0.012125
0.028505 0.012810
0.026593 0.012746
0.039861 0.013925
0.025806 0.014080
0.027368 0.014268
0.027125 0.012831
0.026934 0.013867
0.034994 0.012596
0.027197 0.011961
0.027177 0.011948
0.026251 0.012293
0.045700 0.012689
0.026503 0.012340
0.032499 0.012661
0.026298 0.012072
0.027280 0.012254
0.028444 0.012061
0.027261 0.012114
0.027566 0.012305
0.026474 0.012227
0.026725 0.012477
0.027605 0.012263
0.026626 0.012937
0.030023 0.012002
0.028026 0.012769
0.027489 0.012242
0.029114 0.012382
0.027978 0.012277
0.028806 0.012282
0.027638 0.012390
0.027169 0.012059
0.026009 0.012036
0.028282 0.012183
0.043201 0.013350
0.026386 0.012161
0.026703 0.011966
0.026510 0.012128
0.028036 0.013720
0.028663 0.011888
0.028176 0.011806
0.028416 0.012833
0.028961 0.013082
0.028163 0.012626
0.026424 0.012785
0.026504 0.012150
0.028864 0.012082
0.026713 0.012431
0.041361 0.012451
0.027417 0.011992
0.026167 0.011894
0.026046 0.012145
0.026265 0.012245
0.027421 0.012216
0.027923 0.012422
0.029355 0.012033
0.027300 0.012231
0.026668 0.012338
0.026446 0.012082
0.031173 0.012047
0.037815 0.012309
0.028035 0.012056
0.027214 0.012020
0.025984 0.011893
0.027037 0.012302
0.026393 0.012340
0.026918 0.011941
0.026494 0.012398
0.034266 0.012245
0.041239 0.012324
0.026354 0.012439
0.026733 0.012236
0.028240 0.011911
0.027579 0.011958
0.026886 0.011717
0.027688 0.012106
0.026690 0.012439
0.028908 0.012006
0.030956 0.012284
0.028083 0.012055
0.027871 0.012357
0.026709 0.012857
0.027340 0.011933
0.027887 0.012031
0.027231 0.012625
0.028265 0.014802
0.026740 0.012389
0.027852 0.012176
0.027323 0.011987
0.026833 0.012151
0.027460 0.013030
0.039648 0.012135
0.027821 0.013413
0.026023 0.013251
0.032024 0.012684
0.027832 0.012155
0.026847 0.012036
0.026829 0.012021
0.031582 0.012130
0.026932 0.012369
0.026807 0.012062
0.026951 0.012349
0.027908 0.012407
0.026693 0.012254
0.026910 0.012284
0.026938 0.012157
0.027681 0.012308
0.028936 0.012371
0.027115 0.012037
0.026763 0.012076
0.027110 0.012035
0.027107 0.012524
0.026766 0.012287
0.026690 0.012064
0.046283 0.013003
0.026726 0.012994
0.027078 0.012316
0.027607 0.012184
0.029681 0.011733
0.039749 0.012095
0.026476 0.011827
0.039867 0.011934
0.027545 0.012100
0.027056 0.012755
0.028416 0.012093
0.026693 0.012331
0.027704 0.012686
0.027894 0.012990
0.027515 0.012122
0.026922 0.012029
0.026497 0.012216
0.026567 0.011961
0.026325 0.012170
0.026684 0.012077
0.026807 0.012136
0.026983 0.012366
0.032055 0.013558
0.027189 0.012368
0.027432 0.012001
0.026037 0.012311
0.033864 0.014336
0.033555 0.012592
0.026524 0.011961
0.030895 0.012184
0.033938 0.012043
0.026274 0.012661
0.026368 0.012068
0.026428 0.011949
0.026947 0.012249
0.027642 0.012408
0.026785 0.012229
0.026654 0.012272
0.026884 0.012343
0.028569 0.012261
0.028007 0.012173
0.028360 0.012143
0.027124 0.012207
0.026485 0.012426
0.026989 0.012341
0.026503 0.012185
0.026659 0.012201
0.026487 0.012150
0.027672 0.012792
0.028303 0.012423
0.027187 0.012009
0.027135 0.013104
0.027148 0.012116
0.026564 0.012393
0.035893 0.013952
0.026763 0.012128
0.036728 0.013670
0.027368 0.014087
0.027816 0.013791
0.026053 0.013002
0.042456 0.011954
0.026584 0.012036
0.026813 0.012010
0.027015 0.012122
0.027244 0.012431
0.027987 0.012022
0.026824 0.012028
0.026558 0.011990
0.026285 0.011779
0.027101 0.012147
0.030358 0.011902
0.034540 0.013075
0.032244 0.012358
0.026541 0.012231
0.029935 0.012251
0.025997 0.012297
0.027548 0.011980
0.027975 0.012038
0.027262 0.012082
0.027104 0.012377
0.027715 0.012267
0.027487 0.012462
0.026389 0.012032
0.027053 0.012343
0.027444 0.012323
0.028250 0.012267
0.026328 0.012743
0.027433 0.011921
0.027223 0.012006
0.026921 0.012277
0.027684 0.012111
0.027658 0.012392
0.032723 0.012224
0.032141 0.012102
0.026558 0.012765
0.028124 0.012231
0.026975 0.012463
0.026593 0.012120
0.026695 0.012031
0.034366 0.013953
0.029524 0.011906
0.026812 0.012062
0.029652 0.012115
0.029628 0.012170
0.027798 0.012359
0.029942 0.012501
0.027645 0.012150
0.026902 0.012265
0.027051 0.012307
0.027229 0.012243
0.027410 0.012114
0.029154 0.012165
0.028372 0.012138
0.028154 0.012595
0.029670 0.012654
0.026987 0.012921
0.027276 0.013984
0.027999 0.012269
0.027988 0.012260
0.028220 0.012078
0.027400 0.011966
0.026447 0.012173
0.026299 0.011987
0.028379 0.012013
0.029043 0.011949
0.026950 0.012355
0.027644 0.012285
0.027313 0.012539
0.027775 0.011975
0.029438 0.012265
0.033722 0.012612
0.028002 0.012211
0.031425 0.011973
0.027720 0.012152
0.030243 0.011978
0.026440 0.011929
0.027200 0.012075
0.026822 0.012341
0.028195 0.012032
0.026453 0.012228
0.026988 0.012002
0.027483 0.012011
0.027653 0.011990
0.027608 0.011766
0.030633 0.012204
0.026243 0.012141
0.026895 0.012353
0.027497 0.012820
0.032657 0.012668
0.031475 0.014352
0.036382 0.012909
0.026500 0.011953
0.027127 0.012020
0.026933 0.011915
0.026229 0.014926
0.026310 0.011970
0.029708 0.012798
0.026749 0.012781
0.027348 0.012824
0.026817 0.014191
0.027081 0.011969
0.026216 0.011903
0.027591 0.011757
0.027139 0.012229
0.028259 0.012195
0.027071 0.012173
0.029085 0.012112
0.026659 0.012029
0.027745 0.011906
0.027761 0.012429
0.027531 0.012816
0.027450 0.012064
0.027557 0.012238
0.026870 0.012008
0.027058 0.013290
0.034953 0.012834
0.027702 0.012905
0.027567 0.011751
0.028069 0.012131
0.028762 0.012766
0.029145 0.013954
0.026555 0.012645
0.028972 0.012130
0.026615 0.012009
0.027021 0.012057
0.027347 0.011987
0.026936 0.011916
0.026999 0.011888
0.026788 0.011839
0.035597 0.022084
0.027601 0.012314
0.026778 0.012460
0.028215 0.013655
0.031998 0.012275
0.052345 0.013122
0.026601 0.012163
0.026848 0.012819
0.028184 0.012294
0.028008 0.013054
0.030802 0.012293
0.027243 0.012216
0.027875 0.012362
0.028088 0.012002
0.028106 0.012219
0.027471 0.012364
0.026990 0.013082
0.026964 0.012069
0.027466 0.012070
0.027835 0.011969
0.027731 0.012256
0.037801 0.013015
0.028816 0.013891
0.028826 0.012094
0.032364 0.012087
0.030385 0.012066
0.027419 0.012016
0.027335 0.011970
0.027441 0.013023
0.027399 0.011816
0.027017 0.012691
0.033773 0.012759
0.029576 0.012834
0.028309 0.012449
0.047915 0.013023
0.027456 0.012495
0.027593 0.013892
0.028373 0.013136
0.027352 0.012286
0.027166 0.011915
0.028144 0.011875
0.027634 0.011869
0.028040 0.011953
0.028064 0.012029
0.029475 0.012385
0.027412 0.012263
0.027264 0.012233
0.027832 0.012105
0.029394 0.011948
0.029477 0.011814
0.038701 0.012239
0.027765 0.011867
0.031645 0.011874
0.033720 0.012516
0.027534 0.012268
0.031760 0.011952
0.028304 0.012215
0.028344 0.013714
0.027863 0.013553
0.028474 0.011948
0.027745 0.013402
0.027817 0.012053
0.027602 0.013163
0.027518 0.012211
0.030313 0.012116
0.029429 0.012338
0.028267 0.012064
0.027585 0.012079
0.027849 0.011938
0.033122 0.012978
0.029205 0.012154
0.028140 0.011957
0.029236 0.012653
0.028350 0.012940
0.032094 0.012000
0.032695 0.013515
0.027899 0.012014
0.028946 0.012167
0.034613 0.012406
0.027755 0.012054
0.027530 0.011982
0.031639 0.012237
0.027412 0.013340
0.027768 0.013043
0.027940 0.012635
0.043872 0.012150
0.027028 0.012201
0.027578 0.011907
0.027445 0.012045
0.041315 0.013330
0.027195 0.013014
0.027192 0.012920
0.043357 0.012724
0.027101 0.012211
0.029785 0.011923
0.049517 0.013132
0.030436 0.013776
0.032939 0.012030
0.027672 0.012396
0.028337 0.011991
0.028033 0.012113
0.030698 0.012166
0.027666 0.012223
0.027120 0.012106
0.036672 0.012186
0.027303 0.011747
0.027720 0.013108
0.027203 0.011967
0.027203 0.012025
0.034408 0.013944
0.028817 0.013955
0.029438 0.012080
0.027164 0.012124
0.028052 0.012141
0.027575 0.012048
0.027493 0.012009
0.027646 0.012304
0.029258 0.012120
0.027847 0.012091
0.027276 0.011793
0.027192 0.011961
0.026851 0.012063
0.026729 0.012050
0.026666 0.012053
0.028135 0.011806
0.027246 0.012023
0.027202 0.012339
0.027411 0.012328
0.027841 0.012715
0.027037 0.012093
0.027373 0.011834
0.027267 0.012107
0.027583 0.012009
0.027295 0.011802
0.028993 0.012038
0.031212 0.012698
0.027042 0.012128
0.027160 0.012183
0.031851 0.014658
0.027881 0.011863
0.027155 0.012028
0.046669 0.013937
0.045934 0.012680
0.026497 0.013102
